INFO:root:2022-06-27 13:42:49.946237 willerk started
INFO:root:2022-06-27 13:42:51.612965 -- Extraction complete in 1.4249110221862793 seconds
INFO:root:2022-06-27 13:44:11.844762 -- orders treated for INSERTION in 80.23079586029053 seconds
INFO:root:2022-06-27 13:44:27.317960 -- 74 orders inserted in 15.472198247909546 seconds
INFO:root:2022-06-27 13:44:32.802773 -- Extraction complete in 5.483815670013428 seconds
INFO:root:2022-06-27 13:44:32.810769 -- orders treated for UPDATE in 0.002992391586303711 seconds
INFO:root:2022-06-27 13:44:39.991289 -- 2 status updated in 7.176523447036743 seconds
INFO:root:2022-06-27 13:44:39.991289 -- willerk complete in 110.04505228996277 seconds
INFO:root:2022-06-27 13:44:39.992290 sawaryb2c started
INFO:root:2022-06-27 13:44:41.206363 -- Extraction complete in 1.0492007732391357 seconds
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126153swar-01 HTTP/1.1" 200 12104
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126159swar-01 HTTP/1.1" 200 12017
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126175swar-01 HTTP/1.1" 200 15943
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126185swar-01 HTTP/1.1" 200 8363
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126189swar-01 HTTP/1.1" 200 8532
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126193swar-01 HTTP/1.1" 200 12109
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126197swar-01 HTTP/1.1" 200 13227
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126214swar-01 HTTP/1.1" 200 8591
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126219swar-01 HTTP/1.1" 200 12134
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126231swar-01 HTTP/1.1" 200 11855
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126239swar-01 HTTP/1.1" 200 11813
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126242swar-01 HTTP/1.1" 200 8608
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126245swar-01 HTTP/1.1" 200 8576
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126262swar-01 HTTP/1.1" 200 11672
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
